 Q,X,reg5,reg7,income,gender,age,edu1,edu2,occ,group,answered1,time1,pq1,pq2,pq3,pq4,pq5,pq6,pq7,pq8,pq9,pq10,z2,answered2,time2,q1,q2,q3,q4,q5,q6,q7,q8,q9
73044,573174,4,6,4,2,48,3,2,5,0,1,0:03:04,1,9,13,3,7,0,4,1,3,5,1,1,0:06:07,2,1,4,4,1,2,4,5,1
64945,554216,2,7,2,1,42,3,2,4,0,1,0:03:34,1,10,12,1,3,1,2,1,3,3,5,1,0:06:04,3,2,5,4,3,3,3,4,1
58666,529609,1,1,3,2,58,6,0,0,0,1,0:15:42,1,12,1,1,8,0,3,1,1,4,5,1,0:06:03,2,2,3,3,3,2,3,3,1
23281,330678,2,5,3,1,58,4,2,1,0,1,0:02:08,1,10,10,1,8,0,2,2,1,3,5,1,0:06:01,3,3,4,3,2,4,4,4,1
18236,250546,1,1,2,2,54,3,2,1,0,1,0:04:58,1,14,2,1,3,1,6,2,1,3,4,1,0:06:00,2,2,5,3,3,3,3,3,1
68264,562778,2,3,5,2,47,3,2,0,0,1,0:03:40,1,2,2,1,3,2,2,1,1,3,1,1,0:05:56,2,2,2,2,1,1,4,4,1
70283,567348,1,1,2,2,62,3,2,0,0,1,0:04:29,1,12,12,2,7,0,6,2,1,4,2,1,0:05:53,3,2,2,1,1,1,4,5,1
61275,539812,3,2,3,1,57,3,2,3,0,1,0:01:41,1,10,4,1,4,2,3,1,2,3,3,1,0:05:47,2,1,5,3,1,4,5,4,1
25195,344936,3,2,0,2,57,4,2,0,0,1,0:05:09,1,1,1,2,5,1,2,1,1,3,2,1,0:05:43,2,1,3,3,2,4,4,4,1
36082,417641,3,2,0,2,68,3,2,0,0,1,0:05:09,1,1,1,2,3,1,1,1,1,3,4,1,0:05:42,2,2,3,3,3,3,3,3,1
39408,439878,2,4,2,1,41,4,2,4,0,1,0:08:30,1,13,3,1,3,1,2,1,1,4,5,1,0:05:42,3,2,3,2,1,4,5,5,1
69492,565641,2,7,2,2,51,3,2,4,0,1,0:02:13,1,5,5,1,7,0,4,1,3,5,1,1,0:05:40,3,2,4,2,1,1,5,4,1
35521,409988,2,2,2,2,65,3,2,9,0,1,0:04:46,1,13,13,1,8,0,4,1,1,3,4,1,0:05:38,1,1,3,3,3,3,3,3,1
40120,443677,3,2,4,2,46,4,2,0,0,1,0:02:32,1,9,8,2,3,1,2,1,1,3,2,1,0:05:33,2,3,3,3,3,3,3,3,1
21645,312587,2,2,4,1,44,3,2,4,0,1,0:05:06,1,11,4,1,3,1,1,2,1,4,4,1,0:05:32,3,3,3,2,1,3,4,4,1
64118,550820,1,1,3,1,61,3,2,0,0,1,0:02:49,1,14,15,1,1,1,4,1,1,3,2,1,0:05:29,2,4,2,3,2,1,2,2,1
33075,393799,1,1,1,2,57,3,2,2,0,1,0:02:48,1,15,15,1,4,1,4,1,1,4,2,1,0:05:28,3,2,4,4,1,2,4,4,1
20897,305002,1,1,2,2,54,3,1,9,0,1,0:02:54,1,12,12,1,7,0,3,2,2,4,3,1,0:05:26,3,3,4,2,1,1,5,5,1
19324,278651,2,5,1,2,57,4,2,0,0,1,0:12:00,1,10,1,1,3,2,2,2,1,3,3,1,0:05:18,2,2,1,1,1,4,5,5,1
31902,386625,1,1,2,2,61,3,2,5,0,1,0:02:42,1,15,15,1,7,0,3,1,1,3,4,1,0:05:16,1,1,3,2,2,3,4,4,1
22710,326050,2,7,2,1,57,5,1,4,0,1,0:02:14,1,5,5,1,5,1,2,1,1,3,2,1,0:05:15,3,1,1,1,1,1,5,5,1
45696,468925,3,2,3,2,45,5,1,0,0,1,0:28:15,1,11,11,2,3,1,1,3,1,3,5,1,0:05:15,2,2,5,3,3,4,4,5,1
24791,342240,1,1,5,1,67,4,2,1,0,1,0:03:22,1,8,1,2,7,0,4,1,1,3,4,1,0:05:15,3,3,5,5,1,4,5,5,1
47229,474417,3,3,1,2,43,6,0,0,0,1,0:05:23,1,13,3,2,3,1,2,1,1,4,5,1,0:05:14,3,3,1,1,1,1,5,5,1
65887,557063,2,5,2,1,69,2,2,0,0,1,0:04:41,1,15,15,1,7,0,4,1,1,4,1,1,0:05:13,2,3,3,3,3,3,3,5,1
34702,404000,3,7,1,2,64,3,2,9,0,1,0:01:45,1,16,16,2,1,1,5,1,1,3,4,1,0:05:12,2,2,5,4,4,4,5,5,1
47665,475829,2,7,2,2,48,6,0,0,0,1,0:04:39,1,5,5,1,8,0,6,4,3,4,4,1,0:05:11,3,2,1,3,5,3,5,4,1
25877,350721,3,5,7,1,35,4,2,4,0,1,0:02:22,1,10,2,1,8,0,2,1,1,4,3,1,0:05:10,1,1,2,2,1,1,4,5,1
35841,415872,3,2,3,1,61,3,2,4,0,1,0:02:59,1,8,8,2,1,1,4,1,1,4,5,1,0:05:09,1,3,4,4,3,3,5,5,1
3805,15591,3,3,5,2,55,3,2,2,0,1,0:02:43,1,9,13,2,1,1,3,1,1,3,2,1,0:05:08,3,2,3,2,1,1,2,4,1
35141,407751,3,2,2,2,63,4,2,0,0,1,0:03:32,1,1,8,2,1,1,1,1,2,3,3,1,0:05:07,4,2,3,3,1,3,4,4,1
29742,374574,3,7,4,2,57,3,2,9,0,1,0:02:02,1,12,12,3,3,1,6,2,3,3,4,1,0:05:07,1,1,3,1,1,1,1,1,1
8290,75676,1,1,1,2,59,3,2,0,0,1,0:01:18,1,4,1,1,7,0,3,1,1,4,1,1,0:05:05,1,2,3,1,1,1,5,5,1
30339,377696,2,5,1,2,50,4,1,9,0,1,0:01:05,1,6,6,2,3,1,1,2,2,3,3,1,0:05:04,2,1,3,1,1,1,5,5,1
70427,567712,3,2,2,1,68,4,2,0,0,1,0:03:03,1,8,8,2,1,2,4,1,1,4,4,1,0:05:03,2,2,3,2,1,1,5,5,1
64993,554378,4,7,2,2,52,3,2,3,0,1,0:11:07,1,11,1,1,4,2,3,3,1,3,1,1,0:05:02,2,1,4,4,3,4,5,5,1
69563,565788,3,2,3,2,56,3,2,0,0,1,0:02:27,1,15,15,2,3,1,2,2,3,4,1,1,0:05:01,2,2,1,1,1,1,5,5,1
28684,368623,2,2,4,1,46,3,2,4,0,1,0:02:02,1,15,15,1,7,0,2,1,4,3,1,1,0:05:00,2,2,4,3,4,4,4,4,1
43079,459413,2,5,2,1,67,4,2,0,0,1,0:03:01,1,10,10,1,2,1,3,1,1,3,1,1,0:05:00,2,2,3,3,3,1,1,5,1
70426,567711,3,2,2,2,60,4,2,0,0,1,0:02:11,1,8,8,2,1,1,1,1,1,3,4,1,0:04:59,2,3,3,3,3,5,5,5,1
26100,352238,1,1,1,2,60,4,2,9,0,1,0:02:24,1,3,3,1,8,0,4,1,4,4,4,1,0:04:58,3,2,4,2,2,4,4,3,1
20785,303659,2,7,3,1,59,4,2,3,0,1,0:05:22,1,12,12,1,3,1,2,1,1,3,5,1,0:04:58,1,2,4,4,2,5,4,5,1
64161,550985,2,3,2,2,60,6,0,5,0,1,0:10:14,1,13,7,1,3,1,1,2,1,1,3,1,0:04:56,2,2,2,1,2,3,1,2,1
44917,466221,2,5,1,2,50,3,2,0,0,1,0:01:55,1,9,6,1,7,0,5,1,4,4,3,1,0:04:55,1,1,5,3,2,3,4,4,1
25127,344407,1,1,2,2,64,4,2,2,0,1,0:02:32,1,1,1,1,7,0,4,2,1,3,1,1,0:04:54,3,3,3,2,1,2,3,4,1
54559,502838,3,7,2,2,55,4,2,3,0,1,0:04:50,1,11,11,2,3,2,2,1,4,3,2,1,0:04:54,2,2,3,3,1,3,3,3,1
42732,458063,2,4,2,2,55,3,2,5,0,1,0:06:48,1,3,3,1,7,0,2,1,1,4,4,1,0:04:54,3,2,4,1,1,1,5,5,1
69609,565891,4,6,1,2,47,3,2,0,0,1,0:03:11,1,8,8,3,7,0,3,1,2,5,5,1,0:04:53,2,2,5,1,1,5,5,5,1
9292,86520,3,2,11,2,57,4,1,5,0,1,0:05:56,1,11,11,2,3,1,2,2,1,3,1,1,0:04:52,3,2,4,1,1,5,5,5,1
72362,571911,3,2,2,2,55,4,1,0,0,1,0:02:48,1,8,8,2,1,2,5,1,1,5,2,1,0:04:48,3,3,1,1,3,3,3,5,1
29250,371812,3,2,2,2,58,4,1,3,0,1,0:05:25,1,14,14,2,7,0,3,1,1,4,4,1,0:04:48,2,3,5,2,1,2,5,5,1
53932,499471,3,5,2,2,50,3,2,4,0,1,0:02:16,1,11,11,3,3,2,3,2,1,3,4,1,0:04:48,2,2,1,1,2,4,5,1,1
53854,499175,3,7,3,1,62,1,2,4,0,1,0:03:10,1,12,12,3,7,0,3,2,2,4,3,1,0:04:47,1,1,3,1,1,1,1,5,1
31944,386953,3,2,4,1,66,4,2,0,0,1,0:01:24,1,4,4,1,3,2,3,1,1,3,5,1,0:04:46,2,2,5,3,3,2,4,4,1
34145,400475,1,1,5,2,54,4,2,0,0,1,0:02:04,1,2,2,1,7,0,4,1,1,3,1,1,0:04:44,3,2,4,3,3,3,3,3,1
20167,295915,3,6,3,1,43,3,2,4,0,1,0:01:32,1,9,9,2,7,0,6,1,3,4,3,1,0:04:44,2,1,3,3,1,1,4,2,1
55608,507856,3,3,1,1,57,5,1,0,0,1,0:06:19,1,14,14,2,3,2,1,1,1,3,4,1,0:04:44,1,2,1,1,1,1,5,5,1
60935,538209,2,5,11,2,21,4,1,0,0,1,0:02:21,1,10,10,1,3,2,3,1,1,3,5,1,0:04:44,3,1,4,5,4,5,2,1,1
8075,72518,3,2,5,1,68,4,2,0,0,1,0:03:03,1,10,10,2,3,1,4,1,1,3,5,1,0:04:43,3,2,4,2,2,2,4,4,1
24427,339572,2,3,2,2,69,3,2,9,0,1,0:03:54,1,14,14,1,7,0,4,3,2,4,2,1,0:04:42,2,3,3,4,2,2,2,2,1
10453,101034,1,1,5,2,55,4,1,5,0,1,0:02:28,1,1,4,1,7,0,4,1,4,4,5,1,0:04:40,3,3,1,1,1,1,5,5,1
24408,339424,2,3,10,2,48,4,2,2,0,1,0:05:47,1,2,2,1,7,0,2,2,1,2,2,1,0:04:39,2,2,3,3,3,2,3,3,1
4201,19430,3,2,4,2,67,5,1,2,0,1,0:03:04,1,12,12,3,1,2,4,2,3,4,3,1,0:04:39,2,3,1,1,1,1,5,5,1
21633,312539,3,2,1,1,55,4,2,0,0,1,0:02:05,1,5,5,2,3,1,2,1,1,3,3,1,0:04:39,2,3,1,1,2,1,5,5,1
65934,557191,3,2,6,2,49,3,2,0,0,1,0:01:47,1,8,10,3,8,0,6,3,2,4,4,1,0:04:39,1,4,4,3,4,4,5,4,1
71599,570273,4,6,2,2,49,3,2,5,0,1,0:02:25,1,15,15,3,7,0,6,1,2,3,4,1,0:04:38,2,2,3,1,1,1,1,5,1
18813,265053,3,2,2,2,54,3,2,0,0,1,0:10:30,1,8,8,2,3,1,2,1,1,3,4,1,0:04:37,2,2,3,2,2,5,4,4,1
70282,567347,1,1,2,1,64,3,2,0,0,1,0:02:39,1,12,12,2,7,0,3,1,1,4,4,1,0:04:37,3,3,1,1,1,1,5,5,1
19569,283965,3,2,5,2,59,3,2,5,0,1,0:07:16,1,8,8,2,7,0,2,1,1,3,1,1,0:04:35,2,1,3,2,1,1,4,4,1
68328,562896,3,7,4,1,60,3,2,0,0,1,0:01:02,1,1,1,2,7,0,3,1,1,4,2,1,0:04:35,1,2,1,1,1,1,5,5,1
73967,574464,2,2,2,2,42,6,0,3,0,1,0:04:05,1,10,10,1,7,0,3,2,1,4,3,1,0:04:34,3,3,3,3,3,3,3,5,1
