"","reg5","reg7","income","gender","age","edu1","edu2","occ","group","pq1","pq2","pq3","pq4","partyID","pq6","ideology","pq8","pq9","pq10","treat","direct","indirect","q3","q4","q5","q6","q7","q8","q9","party","party_f","party_lib","party_con","ideo_f","ideo_con","ideo_lib","college","korean_war","men"
"97",1,1,2,2,54,3,2,1,0,1,14,2,1,3,1,"Don't know",2,1,3,4,2,2,5,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Don't know",0,0,0,0,0
"98",2,3,5,2,47,3,2,0,0,1,2,2,1,3,2,"Lib",1,1,3,1,2,2,2,2,1,1,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"99",1,1,2,2,62,3,2,0,0,1,12,12,2,7,0,"Don't know",2,1,4,2,3,2,2,1,1,1,4,5,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"100",3,2,3,1,57,3,2,3,0,1,10,4,1,4,2,"Moderate",1,2,3,3,2,1,5,3,1,4,5,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,1
"101",3,2,0,2,57,4,2,0,0,1,1,1,2,5,1,"Lib",1,1,3,2,2,1,3,3,2,4,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"102",3,2,0,2,68,3,2,0,0,1,1,1,2,3,1,"Lib",1,1,3,4,2,2,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,1,0
"103",2,4,2,1,41,4,2,4,0,1,13,3,1,3,1,"Lib",1,1,4,5,3,2,3,2,1,4,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"104",2,7,2,2,51,3,2,4,0,1,5,5,1,7,0,"Con",1,3,5,1,3,2,4,2,1,1,5,4,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"105",2,2,2,2,65,3,2,9,0,1,13,13,1,8,0,"Con",1,1,3,4,1,1,3,3,3,3,3,3,1,"Don't know","Don't know",0,0,"Con",1,0,0,1,0
"106",3,2,4,2,46,4,2,0,0,1,9,8,2,3,1,"Lib",1,1,3,2,2,3,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"107",2,2,4,1,44,3,2,4,0,1,11,4,1,3,1,"Lib",2,1,4,4,3,3,3,2,1,3,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"108",1,1,3,1,61,3,2,0,0,1,14,15,1,1,1,"Con",1,1,3,2,2,4,2,3,2,1,2,2,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,1
"109",1,1,1,2,57,3,2,2,0,1,15,15,1,4,1,"Con",1,1,4,2,3,2,4,4,1,2,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,0
"110",1,1,2,2,54,3,1,9,0,1,12,12,1,7,0,"Moderate",2,2,4,3,3,3,4,2,1,1,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"111",2,5,1,2,57,4,2,0,0,1,10,1,1,3,2,"Lib",2,1,3,3,2,2,1,1,1,4,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"112",1,1,2,2,61,3,2,5,0,1,15,15,1,7,0,"Moderate",1,1,3,4,1,1,3,2,2,3,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"113",2,7,2,1,57,5,1,4,0,1,5,5,1,5,1,"Lib",1,1,3,2,3,1,1,1,1,1,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
